Date,Date Int,Day Name Short,Day Num Week,Day of Year,Month Day Num,Month Name Short,Month Num,Month Year,Month Year Order,Quarter Num,Quarter Year,Quarter Year Order,Week Ending,Week Num,Week Year,Week Year Order,Year
2021-01-01 00:00:00,20210101,Fri,6,1,1,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-02 00:00:00,1,W1 2021,202101,2021
2021-01-02 00:00:00,20210102,Sat,7,2,2,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-02 00:00:00,1,W1 2021,202101,2021
2021-01-03 00:00:00,20210103,Sun,1,3,3,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-09 00:00:00,2,W2 2021,202102,2021
2021-01-04 00:00:00,20210104,Mon,2,4,4,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-09 00:00:00,2,W2 2021,202102,2021
2021-01-05 00:00:00,20210105,Tue,3,5,5,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-09 00:00:00,2,W2 2021,202102,2021
2021-01-06 00:00:00,20210106,Wed,4,6,6,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-09 00:00:00,2,W2 2021,202102,2021
2021-01-07 00:00:00,20210107,Thu,5,7,7,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-09 00:00:00,2,W2 2021,202102,2021
2021-01-08 00:00:00,20210108,Fri,6,8,8,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-09 00:00:00,2,W2 2021,202102,2021
2021-01-09 00:00:00,20210109,Sat,7,9,9,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-09 00:00:00,2,W2 2021,202102,2021
2021-01-10 00:00:00,20210110,Sun,1,10,10,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-16 00:00:00,3,W3 2021,202103,2021
2021-01-11 00:00:00,20210111,Mon,2,11,11,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-16 00:00:00,3,W3 2021,202103,2021
2021-01-12 00:00:00,20210112,Tue,3,12,12,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-16 00:00:00,3,W3 2021,202103,2021
2021-01-13 00:00:00,20210113,Wed,4,13,13,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-16 00:00:00,3,W3 2021,202103,2021
2021-01-14 00:00:00,20210114,Thu,5,14,14,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-16 00:00:00,3,W3 2021,202103,2021
2021-01-15 00:00:00,20210115,Fri,6,15,15,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-16 00:00:00,3,W3 2021,202103,2021
2021-01-16 00:00:00,20210116,Sat,7,16,16,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-16 00:00:00,3,W3 2021,202103,2021
2021-01-17 00:00:00,20210117,Sun,1,17,17,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-23 00:00:00,4,W4 2021,202104,2021
2021-01-18 00:00:00,20210118,Mon,2,18,18,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-23 00:00:00,4,W4 2021,202104,2021
2021-01-19 00:00:00,20210119,Tue,3,19,19,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-23 00:00:00,4,W4 2021,202104,2021
2021-01-20 00:00:00,20210120,Wed,4,20,20,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-23 00:00:00,4,W4 2021,202104,2021
2021-01-21 00:00:00,20210121,Thu,5,21,21,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-23 00:00:00,4,W4 2021,202104,2021
2021-01-22 00:00:00,20210122,Fri,6,22,22,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-23 00:00:00,4,W4 2021,202104,2021
2021-01-23 00:00:00,20210123,Sat,7,23,23,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-23 00:00:00,4,W4 2021,202104,2021
2021-01-24 00:00:00,20210124,Sun,1,24,24,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-30 00:00:00,5,W5 2021,202105,2021
2021-01-25 00:00:00,20210125,Mon,2,25,25,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-30 00:00:00,5,W5 2021,202105,2021
2021-01-26 00:00:00,20210126,Tue,3,26,26,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-30 00:00:00,5,W5 2021,202105,2021
2021-01-27 00:00:00,20210127,Wed,4,27,27,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-30 00:00:00,5,W5 2021,202105,2021
2021-01-28 00:00:00,20210128,Thu,5,28,28,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-30 00:00:00,5,W5 2021,202105,2021
2021-01-29 00:00:00,20210129,Fri,6,29,29,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-30 00:00:00,5,W5 2021,202105,2021
2021-01-30 00:00:00,20210130,Sat,7,30,30,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-01-30 00:00:00,5,W5 2021,202105,2021
2021-01-31 00:00:00,20210131,Sun,1,31,31,Jan,1,Jan 2021,202101,1,Q1 2021,20211,2021-02-06 00:00:00,6,W6 2021,202106,2021
2021-02-01 00:00:00,20210201,Mon,2,32,1,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-06 00:00:00,6,W6 2021,202106,2021
2021-02-02 00:00:00,20210202,Tue,3,33,2,Feb,2,Feb 2021,202102,1,Q1 2021,20211,2021-02-06 00:00:00,6,W6 2021,202106,2021
